dq,na
14.03,2420.2
12.89,3083.62
7.53,7130.12
10.17,4965.62
21.09,1209.57
19.05,1503.13
19.61,1503.13
20.72,1503.13
22.09,1237.87
17.55,1945.22
35.88,646.57
28.68,510.87
21.15,1503.13
28.32,732.11
25.66,636.62
23.38,891.27
22.56,1400.56
34.55,636.62
15.53,2291.83
33.85,604.79
13.17,2673.8
36.69,330.79
40.91,280.67
33.61,300.71
44.47,220.52
47.91,210.5
43.2,170.14
38.44,220.57
39.8,200.48
38.02,381.97
23.1,1655.21
22.54,1782.53
23.13,1782.53
48.98,110.02
36.39,160.02
40.15,170.02
42.54,210.03
36.65,210.03
34.9,270.04
40.1,240.03
37.68,180.02
59.19,120.02
21.72,1237.87
27.82,884.19
